"GEO_ID","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Geographic Area Name"
"1400000US25009201100","1906","142","1700","156","1563","165","137","81","92","58","0","127","0","127","34","53","11","19","168","81","21","26","0","127","105","72","42","37","0","127","0","127","0","127","0","127","10","15","10","16","18","22","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","1266","190","1099","197","959","171","140","120","140","120","0","127","0","127","0","127","0","127","107","62","0","127","0","127","54","35","53","43","0","127","0","127","0","127","0","127","0","127","0","127","60","49","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","3096","226","2602","254","2500","244","102","65","102","65","0","127","0","127","0","127","0","127","291","109","31","31","0","127","108","74","152","73","0","127","0","127","0","127","0","127","84","53","14","22","105","76","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","2918","301","2352","315","2229","311","123","63","110","63","13","21","0","127","0","127","0","127","349","150","30","48","0","127","141","92","178","96","0","127","0","127","0","127","0","127","45","41","26","33","146","100","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","3004","280","2584","312","2470","314","114","75","102","72","12","21","0","127","0","127","0","127","86","53","12","21","14","21","12","20","48","41","0","127","0","127","0","127","22","27","51","42","0","127","261","107","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","2218","195","1552","163","1458","153","94","50","66","48","28","26","0","127","0","127","0","127","141","82","28","45","0","127","95","61","18","21","0","127","0","127","0","127","9","15","72","44","120","74","324","95","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","2274","185","1909","191","1798","181","111","63","100","60","11","17","0","127","0","127","0","127","184","108","81","79","0","127","24","27","44","58","35","39","0","127","0","127","9","17","50","39","13","20","109","58","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","2228","228","1635","238","1479","223","156","91","120","83","23","26","13","20","0","127","0","127","134","77","23","27","0","127","46","35","65","57","0","127","0","127","0","127","11","17","167","84","28","32","253","89","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","2571","310","2034","266","1806","225","228","116","220","114","8","15","0","127","0","127","0","127","189","74","48","36","0","127","8","13","133","63","0","127","56","56","0","127","43","54","172","88","13","22","64","40","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","2451","321","2097","251","1899","231","198","91","197","91","0","127","0","127","1","6","0","127","153","93","86","74","28","42","14","21","25","25","0","127","0","127","0","127","24","27","100","79","0","127","77","61","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","2811","264","2060","291","1832","294","228","128","190","123","38","62","0","127","0","127","0","127","291","157","0","127","0","127","13","22","278","154","0","127","0","127","0","127","14","21","326","152","16","24","104","63","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","1723","245","1049","223","841","198","208","97","148","88","5","10","55","52","0","127","0","127","223","105","56","47","0","127","68","62","99","84","0","127","0","127","0","127","34","32","311","123","0","127","106","69","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","1802","187","1146","215","1041","202","105","77","78","66","27","43","0","127","0","127","0","127","307","125","11","17","0","127","11","17","285","123","0","127","15","23","0","127","16","24","193","88","36","56","89","54","Census Tract 2044, Essex County, Massachusetts"
"1400000US25009204500","1870","235","1384","198","1226","196","158","92","133","84","25","40","0","127","0","127","0","127","293","106","66","58","0","127","76","68","151","80","0","127","0","127","0","127","0","127","91","59","4","10","98","80","Census Tract 2045, Essex County, Massachusetts"
"1400000US25009204600","2917","394","2541","405","1936","315","605","251","538","247","67","64","0","127","0","127","0","127","269","113","23","36","0","127","45","57","201","105","0","127","0","127","0","127","0","127","16","26","38","60","53","41","Census Tract 2046, Essex County, Massachusetts"
"1400000US25009204701","2676","263","2218","265","2056","273","162","130","77","55","85","119","0","127","0","127","0","127","232","120","76","78","0","127","46","44","110","79","0","127","0","127","0","127","0","127","111","116","33","51","82","58","Census Tract 2047.01, Essex County, Massachusetts"
"1400000US25009204702","3320","315","2833","318","2420","347","413","158","391","157","22","27","0","127","0","127","0","127","226","130","18","25","0","127","53","73","155","109","0","127","0","127","0","127","0","127","203","109","19","28","39","39","Census Tract 2047.02, Essex County, Massachusetts"
"1400000US25009205100","2859","302","2511","293","2261","257","250","140","238","137","12","19","0","127","0","127","0","127","243","119","117","90","0","127","99","67","27","43","0","127","0","127","0","127","71","80","34","38","0","127","0","127","Census Tract 2051, Essex County, Massachusetts"
"1400000US25009205200","2981","358","2345","400","2154","378","191","126","130","104","24","39","37","58","0","127","0","127","336","163","160","115","0","127","111","98","65","79","0","127","0","127","0","127","17","26","118","96","0","127","165","210","Census Tract 2052, Essex County, Massachusetts"
"1400000US25009205300","2334","237","2198","227","1944","218","254","122","209","115","45","41","0","127","0","127","0","127","57","38","40","34","0","127","17","19","0","127","0","127","0","127","0","127","0","127","28","37","11","16","40","33","Census Tract 2053, Essex County, Massachusetts"
"1400000US25009205400","2747","227","2510","222","2252","221","258","116","194","94","64","61","0","127","0","127","0","127","105","57","74","56","0","127","31","31","0","127","0","127","0","127","0","127","0","127","33","30","23","28","76","44","Census Tract 2054, Essex County, Massachusetts"
"1400000US25009205500","2272","429","1836","430","1442","306","394","274","218","113","176","199","0","127","0","127","0","127","276","138","249","135","0","127","27","27","0","127","0","127","0","127","0","127","0","127","64","58","0","127","96","66","Census Tract 2055, Essex County, Massachusetts"
"1400000US25009205600","1660","193","1517","200","1295","201","222","113","193","108","14","26","0","127","0","127","15","23","52","45","52","45","0","127","0","127","0","127","0","127","0","127","0","127","0","127","27","34","64","72","0","127","Census Tract 2056, Essex County, Massachusetts"
"1400000US25009205700","2225","241","2035","259","1663","319","372","176","329","150","8","12","35","42","0","127","0","127","88","63","76","63","0","127","12","22","0","127","0","127","0","127","0","127","37","56","22","23","0","127","43","37","Census Tract 2057, Essex County, Massachusetts"
"1400000US25009205800","1484","207","1278","233","1129","200","149","100","80","65","47","74","0","127","22","36","0","127","136","83","52","51","0","127","84","66","0","127","0","127","0","127","0","127","0","127","58","59","0","127","12","20","Census Tract 2058, Essex County, Massachusetts"
"1400000US25009205900","1935","250","1432","226","1313","231","119","93","87","85","32","33","0","127","0","127","0","127","240","127","175","112","0","127","65","55","0","127","0","127","0","127","2","11","0","127","114","91","116","112","31","30","Census Tract 2059, Essex County, Massachusetts"
"1400000US25009206000","1354","330","836","180","700","170","136","90","96","70","0","127","40","56","0","127","0","127","202","137","156","128","0","127","46","51","0","127","0","127","0","127","0","127","96","160","126","115","42","49","52","43","Census Tract 2060, Essex County, Massachusetts"
"1400000US25009206100","1648","346","1250","282","1057","301","193","123","193","123","0","127","0","127","0","127","0","127","217","126","200","122","0","127","17","25","0","127","0","127","0","127","0","127","95","150","33","45","34","54","19","27","Census Tract 2061, Essex County, Massachusetts"
"1400000US25009206200","2210","250","1843","245","1520","264","323","149","280","136","10","16","33","50","0","127","0","127","101","65","69","55","0","127","32","38","0","127","0","127","0","127","0","127","32","39","168","87","0","127","66","79","Census Tract 2062, Essex County, Massachusetts"
"1400000US25009206300","1244","248","1169","262","942","223","227","96","131","75","66","50","30","35","0","127","0","127","47","46","47","46","0","127","0","127","0","127","0","127","0","127","0","127","10","18","18","28","0","127","0","127","Census Tract 2063, Essex County, Massachusetts"
"1400000US25009206400","2540","306","2197","323","1833","256","364","199","214","141","132","146","18","28","0","127","0","127","205","103","21","25","0","127","115","80","69","50","0","127","0","127","0","127","14","22","116","125","0","127","8","18","Census Tract 2064, Essex County, Massachusetts"
"1400000US25009206500","1334","239","1040","231","925","215","115","63","64","53","51","41","0","127","0","127","0","127","144","84","97","76","0","127","47","34","0","127","0","127","0","127","0","127","8","13","109","83","0","127","33","43","Census Tract 2065, Essex County, Massachusetts"
"1400000US25009206600","2273","261","1964","297","1766","271","198","123","153","118","8","13","37","43","0","127","0","127","175","105","144","100","0","127","6","10","25","32","0","127","0","127","0","127","9","14","22","25","51","74","52","57","Census Tract 2066, Essex County, Massachusetts"
"1400000US25009206700","2013","353","1536","310","1422","292","114","86","60","62","54","59","0","127","0","127","0","127","175","93","139","85","0","127","10","16","26","27","0","127","17","28","0","127","0","127","218","141","0","127","67","54","Census Tract 2067, Essex County, Massachusetts"
"1400000US25009206800","985","220","685","175","564","165","121","77","78","53","43","54","0","127","0","127","0","127","219","125","89","67","0","127","47","66","83","74","0","127","0","127","0","127","0","127","81","66","0","127","0","127","Census Tract 2068, Essex County, Massachusetts"
"1400000US25009206900","1837","372","1514","367","1133","262","381","253","116","104","54","65","140","190","47","63","24","39","97","68","69","57","0","127","17","29","11","17","0","127","16","21","0","127","0","127","112","67","32","50","66","87","Census Tract 2069, Essex County, Massachusetts"
"1400000US25009207000","699","152","518","161","461","167","57","58","57","58","0","127","0","127","0","127","0","127","29","32","0","127","0","127","19","31","10","18","0","127","38","44","0","127","0","127","114","81","0","127","0","127","Census Tract 2070, Essex County, Massachusetts"
"1400000US25009207100","1577","310","1128","265","900","223","228","163","212","161","16","24","0","127","0","127","0","127","214","127","179","121","0","127","35","57","0","127","0","127","43","65","0","127","0","127","124","100","50","56","18","25","Census Tract 2071, Essex County, Massachusetts"
"1400000US25009207200","1175","254","1006","234","761","177","245","159","175","133","26","62","44","45","0","127","0","127","120","93","55","72","0","127","13","21","52","52","0","127","0","127","0","127","0","127","16","25","0","127","33","38","Census Tract 2072, Essex County, Massachusetts"
"1400000US25009208101","2514","363","2290","329","2184","339","106","64","106","64","0","127","0","127","0","127","0","127","133","73","66","49","0","127","67","65","0","127","0","127","0","127","0","127","0","127","22","25","0","127","69","52","Census Tract 2081.01, Essex County, Massachusetts"
"1400000US25009208102","1725","155","1632","171","1522","183","110","77","45","50","65","64","0","127","0","127","0","127","84","52","61","44","0","127","23","27","0","127","0","127","0","127","0","127","0","127","0","127","0","127","9","16","Census Tract 2081.02, Essex County, Massachusetts"
"1400000US25009208200","2659","290","2287","274","2049","284","238","125","209","121","29","33","0","127","0","127","0","127","286","190","237","182","0","127","31","37","18","29","0","127","0","127","0","127","0","127","45","43","0","127","41","56","Census Tract 2082, Essex County, Massachusetts"
"1400000US25009208300","3485","332","3274","343","2918","332","356","147","293","126","14","22","0","127","0","127","49","67","157","102","44","35","0","127","32","34","81","92","0","127","0","127","0","127","0","127","13","21","0","127","41","44","Census Tract 2083, Essex County, Massachusetts"
"1400000US25009208400","3024","282","2533","268","2364","270","169","99","115","81","16","26","38","47","0","127","0","127","162","79","23","24","0","127","139","78","0","127","0","127","8","13","0","127","33","47","110","117","0","127","178","164","Census Tract 2084, Essex County, Massachusetts"
"1400000US25009209100","2883","259","2677","239","2515","241","162","94","127","88","20","30","0","127","15","26","0","127","39","36","0","127","0","127","39","36","0","127","0","127","0","127","0","127","0","127","0","127","0","127","167","104","Census Tract 2091, Essex County, Massachusetts"
"1400000US25009209200","2640","243","2254","226","2170","230","84","45","61","36","8","12","15","23","0","127","0","127","121","67","0","127","0","127","63","44","58","49","0","127","0","127","0","127","0","127","31","33","0","127","234","103","Census Tract 2092, Essex County, Massachusetts"
"1400000US25009210100","3675","374","3409","366","3171","334","238","98","221","94","17","28","0","127","0","127","0","127","114","59","70","52","0","127","44","63","0","127","0","127","19","31","0","127","0","127","0","127","15","23","118","77","Census Tract 2101, Essex County, Massachusetts"
"1400000US25009210200","2776","218","2636","206","2413","227","223","127","223","127","0","127","0","127","0","127","0","127","28","32","18","27","0","127","0","127","10","16","0","127","0","127","0","127","0","127","0","127","0","127","112","67","Census Tract 2102, Essex County, Massachusetts"
"1400000US25009210300","3455","281","3242","271","3057","279","185","93","168","89","0","127","17","26","0","127","0","127","68","51","19","30","0","127","22","25","27","34","0","127","0","127","0","127","32","33","0","127","29","34","84","55","Census Tract 2103, Essex County, Massachusetts"
"1400000US25009210400","3625","316","3323","314","3063","297","260","108","182","87","57","65","0","127","21","34","0","127","111","85","0","127","0","127","50","60","61","54","0","127","6","14","23","33","12","19","60","44","59","88","31","36","Census Tract 2104, Essex County, Massachusetts"
"1400000US25009210500","3379","241","3307","229","3140","223","167","104","154","97","13","21","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","0","127","15","25","7","13","0","127","50","45","Census Tract 2105, Essex County, Massachusetts"
"1400000US25009210600","2020","213","1941","203","1820","232","121","118","121","118","0","127","0","127","0","127","0","127","46","46","0","127","0","127","38","44","8","13","0","127","0","127","0","127","0","127","11","16","0","127","22","26","Census Tract 2106, Essex County, Massachusetts"
"1400000US25009210700","2105","302","1836","273","1651","265","185","95","147","80","38","48","0","127","0","127","0","127","165","88","71","65","0","127","50","44","44","44","0","127","20","32","0","127","0","127","31","31","0","127","53","46","Census Tract 2107, Essex County, Massachusetts"
"1400000US25009210800","2257","339","2044","317","1780","315","264","141","194","118","11","18","59","92","0","127","0","127","59","63","0","127","0","127","0","127","59","63","0","127","0","127","0","127","15","23","115","92","0","127","24","28","Census Tract 2108, Essex County, Massachusetts"
"1400000US25009210900","1756","292","1570","278","1530","277","40","33","35","31","0","127","0","127","5","10","0","127","27","23","0","127","0","127","0","127","27","23","0","127","0","127","0","127","14","22","51","64","14","17","80","114","Census Tract 2109, Essex County, Massachusetts"
"1400000US25009211100","2064","200","1978","209","1918","214","60","41","60","41","0","127","0","127","0","127","0","127","56","41","0","127","0","127","12","19","44","35","0","127","0","127","0","127","0","127","0","127","0","127","30","33","Census Tract 2111, Essex County, Massachusetts"
"1400000US25009211200","3361","301","3073","285","2741","334","332","161","332","161","0","127","0","127","0","127","0","127","61","49","0","127","0","127","34","40","27","30","0","127","0","127","0","127","14","27","57","48","15","25","141","110","Census Tract 2112, Essex County, Massachusetts"
"1400000US25009211300","3776","246","3443","249","2978","247","465","207","326","181","52","49","0","127","75","88","12","19","27","30","0","127","0","127","0","127","27","30","0","127","0","127","0","127","0","127","32","37","13","21","261","133","Census Tract 2113, Essex County, Massachusetts"
"1400000US25009211401","1610","278","1541","271","1463","281","78","63","67","57","0","127","0","127","11","17","0","127","10","17","0","127","0","127","10","17","0","127","0","127","0","127","0","127","0","127","24","26","0","127","35","45","Census Tract 2114.01, Essex County, Massachusetts"
"1400000US25009211402","3121","252","2781","241","2658","238","123","86","68","62","37","43","18","27","0","127","0","127","134","90","0","127","0","127","54","45","80","77","0","127","0","127","0","127","30","34","20","30","0","127","156","74","Census Tract 2114.02, Essex County, Massachusetts"
"1400000US25009212100","3611","355","3150","328","3003","328","147","93","147","93","0","127","0","127","0","127","0","127","187","115","22","35","0","127","25","29","140","105","0","127","14","22","0","127","0","127","15","26","0","127","245","115","Census Tract 2121, Essex County, Massachusetts"
"1400000US25009213100","3844","210","3231","215","3049","237","182","110","164","107","18","28","0","127","0","127","0","127","95","80","45","43","0","127","0","127","50","68","0","127","0","127","0","127","20","31","50","47","12","20","436","153","Census Tract 2131, Essex County, Massachusetts"
"1400000US25009214100","2857","194","2397","268","2265","261","132","72","102","65","0","127","0","127","17","27","13","20","69","51","42","40","0","127","14","22","13","21","0","127","0","127","0","127","15","24","54","54","0","127","322","143","Census Tract 2141, Essex County, Massachusetts"
"1400000US25009215101","2158","220","1663","178","1516","181","147","78","139","78","8","15","0","127","0","127","0","127","81","48","0","127","0","127","10","16","71","45","0","127","0","127","0","127","0","127","103","66","14","22","297","122","Census Tract 2151.01, Essex County, Massachusetts"
"1400000US25009215102","1416","234","1031","188","1004","188","27","29","27","29","0","127","0","127","0","127","0","127","111","79","0","127","0","127","0","127","111","79","0","127","0","127","0","127","0","127","37","43","10","16","227","134","Census Tract 2151.02, Essex County, Massachusetts"
"1400000US25009216100","2195","181","1423","181","1341","176","82","55","49","44","33","31","0","127","0","127","0","127","78","53","0","127","0","127","0","127","78","53","0","127","0","127","0","127","24","27","398","131","0","127","272","112","Census Tract 2161, Essex County, Massachusetts"
"1400000US25009217100","3796","372","3400","358","3084","323","316","132","269","129","27","44","20","34","0","127","0","127","151","85","31","35","0","127","28","45","92","56","0","127","0","127","0","127","22","34","95","70","30","43","98","65","Census Tract 2171, Essex County, Massachusetts"
"1400000US25009217201","1936","236","1755","243","1596","228","159","96","131","88","28","33","0","127","0","127","0","127","76","44","11","17","0","127","7","13","58","38","0","127","0","127","0","127","0","127","8","14","11","19","86","56","Census Tract 2172.01, Essex County, Massachusetts"
"1400000US25009217202","2009","163","1791","156","1661","167","130","79","130","79","0","127","0","127","0","127","0","127","144","83","0","127","0","127","0","127","144","83","0","127","0","127","9","15","0","127","21","24","0","127","44","34","Census Tract 2172.02, Essex County, Massachusetts"
"1400000US25009217300","2008","238","1712","221","1581","199","131","75","131","75","0","127","0","127","0","127","0","127","30","33","0","127","0","127","17","27","13","19","0","127","0","127","0","127","18","25","229","108","11","17","8","13","Census Tract 2173, Essex County, Massachusetts"
"1400000US25009217400","3649","406","2748","347","2578","341","170","95","151","91","19","31","0","127","0","127","0","127","380","142","65","56","0","127","64","60","251","107","0","127","0","127","0","127","0","127","352","185","14","23","155","94","Census Tract 2174, Essex County, Massachusetts"
"1400000US25009217500","3473","370","2799","365","2615","346","184","118","148","109","36","43","0","127","0","127","0","127","428","141","0","127","0","127","37","44","391","138","0","127","0","127","0","127","0","127","113","99","0","127","133","82","Census Tract 2175, Essex County, Massachusetts"
"1400000US25009217600","3770","355","2939","349","2762","322","177","97","107","74","31","35","20","32","0","127","19","29","241","102","0","127","0","127","31","34","210","98","0","127","16","26","0","127","14","24","280","135","33","35","247","84","Census Tract 2176, Essex County, Massachusetts"
"1400000US25009218100","2274","216","1583","221","1487","226","96","75","96","75","0","127","0","127","0","127","0","127","270","136","0","127","0","127","19","30","251","130","0","127","0","127","0","127","0","127","132","70","12","18","277","145","Census Tract 2181, Essex County, Massachusetts"
"1400000US25009220101","1798","270","1314","197","1242","186","72","52","54","45","6","11","0","127","0","127","12","22","165","87","37","44","0","127","0","127","128","73","0","127","0","127","0","127","0","127","136","77","12","19","171","97","Census Tract 2201.01, Essex County, Massachusetts"
"1400000US25009220102","1387","232","1110","219","1001","221","109","72","77","48","32","56","0","127","0","127","0","127","101","80","0","127","0","127","0","127","101","80","0","127","0","127","11","17","0","127","117","80","0","127","48","43","Census Tract 2201.02, Essex County, Massachusetts"
"1400000US25009221100","2418","242","2019","255","1851","236","168","106","128","96","30","37","0","127","0","127","10","15","120","56","0","127","0","127","9","18","111","62","0","127","10","15","11","18","0","127","98","54","56","57","104","44","Census Tract 2211, Essex County, Massachusetts"
"1400000US25009221300","2232","317","1962","303","1849","305","113","72","98","68","15","25","0","127","0","127","0","127","31","32","0","127","0","127","0","127","31","32","0","127","0","127","0","127","46","44","16","26","0","127","177","93","Census Tract 2213, Essex County, Massachusetts"
"1400000US25009221400","1757","271","1428","235","1215","223","213","111","176","99","0","127","0","127","37","36","0","127","95","125","32","50","0","127","0","127","63","77","0","127","9","15","0","127","0","127","190","82","0","127","35","43","Census Tract 2214, Essex County, Massachusetts"
"1400000US25009221500","1645","245","1229","206","1038","207","191","105","127","69","24","32","40","51","0","127","0","127","177","154","75","105","0","127","0","127","102","110","0","127","10","16","0","127","52","66","177","130","0","127","0","127","Census Tract 2215, Essex County, Massachusetts"
"1400000US25009221600","1061","210","851","262","722","219","129","100","129","100","0","127","0","127","0","127","0","127","34","41","5","10","0","127","0","127","29","40","0","127","0","127","0","127","0","127","87","65","57","75","32","40","Census Tract 2216, Essex County, Massachusetts"
"1400000US25009221700","1121","173","961","153","854","129","107","69","97","63","10","15","0","127","0","127","0","127","39","47","0","127","0","127","14","21","25","41","0","127","11","19","0","127","33","47","40","24","0","127","37","27","Census Tract 2217, Essex County, Massachusetts"
"1400000US25009221800","888","126","821","130","775","122","46","42","46","42","0","127","0","127","0","127","0","127","33","41","0","127","0","127","0","127","33","41","0","127","0","127","0","127","0","127","0","127","0","127","34","38","Census Tract 2218, Essex County, Massachusetts"
"1400000US25009221901","1591","298","1350","260","1233","258","117","80","98","75","19","31","0","127","0","127","0","127","30","33","0","127","0","127","0","127","30","33","0","127","15","24","0","127","0","127","32","34","0","127","164","103","Census Tract 2219.01, Essex County, Massachusetts"
"1400000US25009221902","1877","196","1597","228","1395","237","202","116","202","116","0","127","0","127","0","127","0","127","16","26","0","127","0","127","16","26","0","127","0","127","0","127","0","127","0","127","13","21","0","127","251","144","Census Tract 2219.02, Essex County, Massachusetts"
"1400000US25009222100","1883","156","1560","181","1494","192","66","74","66","74","0","127","0","127","0","127","0","127","177","82","24","27","0","127","9","14","144","74","0","127","0","127","0","127","0","127","27","32","0","127","119","60","Census Tract 2221, Essex County, Massachusetts"
"1400000US25009223100","1882","193","1582","197","1441","203","141","62","102","55","19","22","10","15","0","127","10","17","116","56","0","127","0","127","0","127","116","56","0","127","0","127","0","127","9","13","25","29","0","127","150","71","Census Tract 2231, Essex County, Massachusetts"
"1400000US25009223200","1779","184","1438","163","1318","142","120","78","63","49","16","24","0","127","0","127","41","52","200","81","0","127","0","127","22","23","178","79","0","127","0","127","0","127","8","13","93","53","0","127","40","37","Census Tract 2232, Essex County, Massachusetts"
"1400000US25009223300","2813","258","2562","261","2502","272","60","60","50","55","10","16","0","127","0","127","0","127","21","25","0","127","0","127","0","127","21","25","0","127","0","127","0","127","0","127","32","39","0","127","198","86","Census Tract 2233, Essex County, Massachusetts"
"1400000US25009250100","718","176","486","164","332","132","154","90","76","53","38","56","40","54","0","127","0","127","100","83","61","55","0","127","22","40","17","29","0","127","43","39","0","127","10","16","79","61","0","127","0","127","Census Tract 2501, Essex County, Massachusetts"
"1400000US25009250200","2527","297","2409","312","1922","273","487","179","332","135","22","29","133","111","0","127","0","127","27","42","27","42","0","127","0","127","0","127","0","127","7","15","0","127","0","127","63","57","9","16","12","21","Census Tract 2502, Essex County, Massachusetts"
"1400000US25009250300","863","164","674","163","462","178","212","149","89","79","64","63","0","127","59","108","0","127","0","127","0","127","0","127","0","127","0","127","0","127","57","63","0","127","0","127","99","69","12","19","21","24","Census Tract 2503, Essex County, Massachusetts"
"1400000US25009250400","1339","297","1226","299","996","325","230","105","123","79","62","63","0","127","32","50","13","24","71","67","71","67","0","127","0","127","0","127","0","127","33","48","0","127","0","127","9","14","0","127","0","127","Census Tract 2504, Essex County, Massachusetts"
"1400000US25009250500","1742","344","1324","286","920","225","404","218","301","177","21","35","35","41","22","33","25","40","78","78","53","65","0","127","25","41","0","127","0","127","179","116","0","127","0","127","137","92","0","127","24","39","Census Tract 2505, Essex County, Massachusetts"
"1400000US25009250600","2129","355","1868","341","1396","280","472","200","256","141","112","83","50","39","39","47","15","23","59","46","59","46","0","127","0","127","0","127","0","127","95","67","0","127","0","127","92","56","0","127","15","23","Census Tract 2506, Essex County, Massachusetts"
"1400000US25009250700","1640","359","1402","318","894","275","508","174","324","137","100","77","12","20","0","127","72","79","4","11","4","11","0","127","0","127","0","127","0","127","97","73","0","127","0","127","86","102","34","40","17","27","Census Tract 2507, Essex County, Massachusetts"
"1400000US25009250800","3153","348","2862","332","2321","383","541","226","407","174","107","123","0","127","0","127","27","39","85","83","74","81","0","127","0","127","11","18","0","127","91","86","0","127","0","127","50","51","33","52","32","37","Census Tract 2508, Essex County, Massachusetts"
"1400000US25009250900","852","126","674","134","362","116","312","131","165","90","70","107","62","55","0","127","15","25","22","35","0","127","0","127","22","35","0","127","0","127","73","65","0","127","0","127","16","31","46","43","21","35","Census Tract 2509, Essex County, Massachusetts"
"1400000US25009251000","420","153","335","121","263","109","72","63","42","53","19","36","0","127","0","127","11","21","25","38","25","38","0","127","0","127","0","127","0","127","0","127","0","127","0","127","24","38","22","33","14","22","Census Tract 2510, Essex County, Massachusetts"
"1400000US25009251100","580","153","487","126","190","74","297","120","155","91","67","57","41","45","0","127","34","37","40","43","40","43","0","127","0","127","0","127","0","127","0","127","0","127","0","127","53","52","0","127","0","127","Census Tract 2511, Essex County, Massachusetts"
"1400000US25009251200","519","156","413","137","315","129","98","62","63","56","0","127","13","23","22","34","0","127","39","49","39","49","0","127","0","127","0","127","0","127","18","30","0","127","0","127","49","43","0","127","0","127","Census Tract 2512, Essex County, Massachusetts"
"1400000US25009251300","891","212","762","213","401","144","361","166","237","149","80","79","14","32","22","52","8","18","27","28","27","28","0","127","0","127","0","127","0","127","0","127","0","127","0","127","46","43","49","66","7","16","Census Tract 2513, Essex County, Massachusetts"
"1400000US25009251400","1760","317","1536","314","1014","206","522","301","269","128","18","27","52","52","183","263","0","127","76","89","75","89","0","127","0","127","1","11","0","127","90","58","0","127","0","127","21","36","24","27","13","22","Census Tract 2514, Essex County, Massachusetts"
"1400000US25009251500","2641","353","2284","338","1272","270","1012","264","753","213","200","94","46","74","13","22","0","127","111","83","98","79","0","127","13","31","0","127","0","127","134","124","0","127","0","127","82","80","9","17","21","28","Census Tract 2515, Essex County, Massachusetts"
"1400000US25009251600","2063","377","1867","409","1376","327","491","182","277","133","91","98","51","75","11","18","61","60","89","71","89","71","0","127","0","127","0","127","0","127","75","96","0","127","0","127","32","43","0","127","0","127","Census Tract 2516, Essex County, Massachusetts"
